Player,Pos,Age,Tm,All Star,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Dylan Windler,SF,24,CLE,0,15,0,262,4.3,8.9,0.477,1.8,5.8,0.31,2.5,3.2,0.783,2.1,2.3,0.882,1.5,6.2,7.7,2.5,1.2,1.1,2.1,2.6,12.4
Cassius Winston,PG,22,WAS,0,6,0,44,3.3,8.2,0.4,2.5,5.7,0.429,0.8,2.5,0.333,1.6,1.6,1,0,3.3,3.3,4.9,0,0.8,0.8,3.3,10.6
James Wiseman,C,19,GSW,0,20,16,419,8.4,16.8,0.503,0.8,1.9,0.409,7.6,14.9,0.514,3.3,5.2,0.623,2.6,7.9,10.5,1.2,0.7,2.2,2.7,5.4,20.9
Christian Wood,C,25,HOU,0,17,17,530,10.1,18.1,0.558,2.2,5.2,0.421,7.9,13,0.613,3,4.3,0.688,2.1,9.7,11.8,1.5,1.1,1.8,2.1,2.2,25.4
Robert Woodard,SF,21,SAC,0,6,0,17,12.7,23.3,0.545,2.1,6.4,0.333,10.6,16.9,0.625,0,4.2,0,6.4,10.6,16.9,0,0,0,2.1,0,27.5
Delon Wright,SG,28,DET,0,28,23,823,4.5,10,0.456,1,3,0.353,3.5,7,0.5,2.7,3.5,0.785,1.4,4.3,5.7,6,1.7,0.7,1.5,1.3,12.9
Thaddeus Young,PF,32,CHI,0,23,0,592,7.2,12.2,0.587,0.3,1.3,0.238,6.9,10.9,0.628,1,2.1,0.5,3.4,4.7,8.1,6.1,1.9,0.7,2.9,4.1,15.7
Trae Young,PG,22,ATL,0,26,26,901,7.9,18.3,0.429,2.4,6.4,0.369,5.5,11.9,0.462,9.4,10.6,0.887,0.7,3.3,4,9.6,0.8,0.3,4.4,2.1,27.5
Cody Zeller,C,28,CHO,0,15,12,361,6.3,12,0.525,0.3,1.6,0.188,6,10.4,0.577,2.2,2.9,0.759,3.9,8.1,12,3.7,1,0.9,1.4,3.7,15.1
Ivica Zubac,C,23,LAC,0,30,1,586,5.8,8.7,0.669,0,0.1,0,5.8,8.7,0.674,3.7,4.4,0.845,4.2,8,12.2,2,0.7,1.5,1.8,4.8,15.4
